"","x","y","Bungarus_caeruleus.AI.model","Bungarus_ceylonicus.AI.model","Daboia_russellii.AI.model","Echis_carinatus.PPM.model","Hypnale_spp.AI.model","Naja_naja.AI.model","Trimeresurus_trigonocephalus.AI.model","Sum","Agressiv","Severity","Agr.Sev","hum.pop","envenomings","bites","land.cover"
"3",420142.570567719,811146.488324056,5.99705924919647e-08,1.7450543776925e-12,1.22823586856668e-08,8.04327928705106e-08,5.37652439236425e-09,8.17710738010291e-09,4.55127257062427e-10,1.66696248132049e-07,1.11991127259528e-06,1.22306670090783e-06,6.7765395030804e-06,3383.39492150322,0.00252883798804475,0.00283021984274792,3
"5",429332.570567719,811146.488324056,1.25963205199753e-07,2.05330356827955e-12,3.15323196442563e-08,2.64519378845307e-07,1.44871578067196e-08,4.55456691250689e-08,4.15649451489253e-10,4.82465433376162e-07,3.52447462971167e-06,3.39690648982465e-06,2.09822312380006e-05,12402.0453620881,0.0021578326811408,0.00175354022187653,3
"6",433927.570567719,811146.488324056,2.01150045064935e-07,8.02068550532814e-14,5.43642777461883e-08,2.16479210557452e-07,2.48781926170949e-08,2.7298583504809e-08,2.65569250618158e-09,5.26826082203516e-07,3.40321549661284e-06,3.9878161883726e-06,2.13233135597253e-05,45192.3710798905,0.00183967102578492,0.00217393454284467,4
"7",438522.570567719,811146.488324056,2.56181937885458e-07,1.13113788804338e-13,7.52979387730335e-08,2.6555122478733e-07,3.31743736925461e-08,3.81050765385638e-08,4.08930976927846e-09,6.72399974559999e-07,4.31706472517623e-06,5.12721921789201e-06,2.73500571263765e-05,40620.2640881922,0.00185974186565891,0.00244535053272557,4
"8",443117.570567719,811146.488324056,1.26967131031108e-07,6.69237995709203e-14,3.46556061625591e-08,2.36846503298693e-07,1.5260141816853e-08,6.14250633690361e-08,6.62155129338426e-10,4.75816667731388e-07,3.36334387706316e-06,3.46115377193839e-06,2.0687147301533e-05,35202.0698138773,0.0025144106573376,0.00260397950190041,3
"11",410952.570567719,806536.488324056,2.35834710871075e-07,1.55577915747349e-12,4.80144362047241e-08,5.65336553570717e-07,1.97663371226398e-08,3.79649657822334e-08,1.47787917320619e-09,9.08396438503752e-07,6.90550747804307e-06,6.1056163447666e-06,3.93247980279569e-05,27287.4122555943,0.00150225047522145,0.00157958400975603,4
"12",415547.570567719,806536.488324056,2.36474931192276e-07,8.99265795106064e-14,5.22467389352244e-08,3.78194990435787e-07,2.26415282633674e-08,2.77518402702626e-08,2.04156607591655e-09,7.19351685099414e-07,5.05029764859129e-06,5.12567710628838e-06,2.98980754175883e-05,27218.8904722945,0.00129661199788239,0.00169373569537373,4
"13",420142.570567719,806536.488324056,2.18094794224299e-07,1.56526459177057e-12,6.7714217455439e-08,2.13769180135159e-07,2.89918767326647e-08,3.92803342075254e-08,3.64375049577426e-09,5.71495718515454e-07,3.62377963604722e-06,4.41037439288812e-06,2.33231434556559e-05,29142.9677821622,0.000937687495262433,0.00148505872343704,4
"14",424737.570567719,806536.488324056,2.30315120308688e-07,2.06349437011049e-12,5.69418204809935e-08,4.43089155144349e-07,2.65664183984882e-08,5.73945674875453e-08,1.36223767162325e-09,8.15671382986058e-07,5.90786886685554e-06,5.74304298630481e-06,3.49910207891761e-05,10487.0686828435,0.00215285549156316,0.00275373629527817,3
"15",429332.570567719,806536.488324056,2.27379866934996e-07,2.99443561491802e-12,5.93099351853255e-08,2.71426680020781e-07,2.85228431984308e-08,6.33861831911275e-08,1.29765169182977e-09,6.51326154658105e-07,4.25345426808694e-06,4.94478937886166e-06,2.68965364645814e-05,16201.1641646917,0.00208981367556842,0.00227469768605905,3
