"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,217,"LKA","Sri Lanka",1,"Ampara","LK.AP",NA,"","Distrikkaya","District","","Amparai"
2,217,"LKA","Sri Lanka",2,"Anuradhapura","LK.AD",NA,"","Distrikkaya","District","",""
3,217,"LKA","Sri Lanka",3,"Badulla","LK.BD",NA,"","Distrikkaya","District","",""
4,217,"LKA","Sri Lanka",4,"Batticaloa","LK.BC",NA,"","Distrikkaya","District","",""
5,217,"LKA","Sri Lanka",5,"Colombo","LK.CO",NA,"","Distrikkaya","District","",""
6,217,"LKA","Sri Lanka",6,"Galle","LK.GL",NA,"","Distrikkaya","District","",""
7,217,"LKA","Sri Lanka",7,"Gampaha","LK.GQ",NA,"","Distrikkaya","District","",""
8,217,"LKA","Sri Lanka",8,"Hambantota","LK.HB",NA,"","Distrikkaya","District","",""
9,217,"LKA","Sri Lanka",9,"Jaffna","LK.JA",NA,"","Distrikkaya","District","",""
10,217,"LKA","Sri Lanka",10,"Kalutara","LK.KT",NA,"","Distrikkaya","District","",""
11,217,"LKA","Sri Lanka",11,"Kandy","LK.KY",NA,"","Distrikkaya","District","","Maha Nuwara"
12,217,"LKA","Sri Lanka",12,"Kegalle","LK.KE",NA,"","Distrikkaya","District","","Kegalla"
13,217,"LKA","Sri Lanka",13,"Kilinochchi","LK.KL",NA,"","Distrikkaya","District","",""
14,217,"LKA","Sri Lanka",14,"Kurunegala","LK.KG",NA,"","Distrikkaya","District","",""
15,217,"LKA","Sri Lanka",15,"Mannar","LK.MB",NA,"","Distrikkaya","District","",""
16,217,"LKA","Sri Lanka",16,"Matale","LK.MT",NA,"","Distrikkaya","District","",""
17,217,"LKA","Sri Lanka",17,"Matara","LK.MH",NA,"","Distrikkaya","District","",""
18,217,"LKA","Sri Lanka",18,"Moneragala","LK.MJ",NA,"","Distrikkaya","District","","Monaragala"
19,217,"LKA","Sri Lanka",19,"Mullaitivu","LK.MP",NA,"","Distrikkaya","District","","Mulativu"
20,217,"LKA","Sri Lanka",20,"Nuwara Eliya","LK.NW",NA,"","Distrikkaya","District","","Nuvara Eliya"
21,217,"LKA","Sri Lanka",21,"Polonnaruwa","LK.PR",NA,"","Distrikkaya","District","",""
22,217,"LKA","Sri Lanka",22,"Puttalam","LK.PX",NA,"","Distrikkaya","District","",""
23,217,"LKA","Sri Lanka",23,"Ratnapura","LK.RN",NA,"","Distrikkaya","District","",""
24,217,"LKA","Sri Lanka",24,"Trincomalee","LK.TC",NA,"","Distrikkaya","District","",""
25,217,"LKA","Sri Lanka",25,"Vavuniya","LK.VA",NA,"","Distrikkaya","District","",""
