Colombo,1675847,2239696,2324349,1.43,1.05,0.35
Gampaha,1367813,2060470,2304833,2.01,1.68,1.05
823964,1065635,1221948,1.26,1.27,1.28
Kandy,1032335,1276202,1375382,1.04,0.92,0.70
Matale,352860,439031,484531,1.07,1.02,0.92
Nuwara-Eliya,583716,702689,711644,0.91,0.64,0.12
Galle,805403,989769,1063334,1.01,0.90,0.67
Matara,642235,760990,814048,0.83,0.76,0.63
Hambantota,421277,525913,599903,1.09,1.14,1.23
Jaffna,734474,-,583882,-,-0.74,-
Mannar,105276,-,99570,-,-0.18,-
Vavuniya,93694,-,172115,-,1.96,-
Mullaitivu,73886,-,92238,-,0.71,-
Kilinochchi,90778,-,113510,-,0.72,-
Batticaloa,329343,-,526567,-,1.51,-
Ampara,383275,592596,649402,2.14,1.70,0.86
Trincomalee,250771,-,379541,-,1.34,-
1198795,1458385,1618465,0.96,0.95,0.97
Puttalam,485619,709002,762396,1.86,1.45,0.68
Anuradhapura,575546,742535,860575,1.25,1.30,1.38
Polonnaruwa,253411,358804,406088,1.71,1.52,1.16
Badulla,620839,778422,815405,1.11,0.88,0.43
Moneragala,269684,396521,451058,1.89,1.66,1.21
Ratnapura,779927,1016221,1088007,1.30,1.07,0.64
Kegalle,678456,784371,840648,0.71,0.69,0.65
