n_sampled,n_bitten,n_envenom,cluster_long,cluster_lat,elevation,climate,popden,occupation,climate2,climate3,elevation1,elevation2,occupation1,occupation2,sb_logit_p
159,0,0,79.859753,6.941884,12.65841701,3,5000,0,0,1,12.65841701,0,0,0,-5.765191103
136,0,0,79.855093,6.938403,11.3214347,3,5000,0,0,1,11.3214347,0,0,0,-5.609471795
157,0,0,79.884438,6.948295,6,3,5000,0,0,1,6,0,0,0,-5.752572639
166,0,0,79.892354,6.939383,8.002874362,3,5000,0,0,1,8.002874362,0,0,0,-5.80814249
165,0,0,79.894911,6.926615,9.018018704,3,5000,0,0,1,9.018018704,0,0,0,-5.802118375
137,0,0,79.901995,6.917976,8.007074528,3,4750.46,0,0,1,8.007074528,0,0,0,-5.616771098
147,0,0,79.97448,6.930514,17.20121766,3,4734.08,0.01,0,1,17.20121766,0,0.01,0,-5.686975356
131,0,0,79.95913,6.900322,18.37098406,3,4403.75,0.01,0,1,18.37098406,0,0.01,0,-5.572154032
134,0,0,79.911578,6.913601,9.733355702,3,5000,0.01,0,1,9.733355702,0,0.01,0,-5.59471138
180,1,0,79.856381,7.264373,12.84621614,2,3784.48,0,1,0,12.84621614,0,0,0,-4.7847101
161,0,0,79.861783,7.21723,13.18591261,2,3222.81,0,1,0,13.18591261,0,0,0,-5.777652323
179,0,0,79.88863,7.149116,14.88140224,2,2716.01,0,1,0,14.88140224,0,0,0,-5.883322388
152,0,0,79.89733,7.141076,17.86417024,3,5000,0,0,1,17.86417024,0,0,0,-5.720311777
163,1,1,79.892822,7.135726,15.40608,3,5000,0,0,1,15.40608,0,0,0,-4.685212894
180,0,0,79.912786,7.121309,11.81328203,3,4389.22,0,0,1,11.81328203,0,0,0,-5.888877958
179,0,0,80.082276,7.288076,53.04276951,2,337.908,0.03,1,0,53.04276951,0,0.03,0,-5.883322388
163,0,0,79.967451,7.223835,27.63853166,3,529.947,0.03,0,1,27.63853166,0,0.03,0,-5.789960171
159,0,0,80.126922,7.294006,63.504299,2,1556.55,0.04,1,0,63.504299,0,0.04,0,-5.765191103
129,0,0,79.915138,6.687594,10.63312,3,3907.521886,0,0,1,10.63312,0,0,0,-5.556828062
141,1,0,79.932117,6.665718,12.02777565,3,3998.53,0,0,1,12.02777565,0,0,0,-4.539742381
174,0,0,79.983572,6.72851,14.95314534,3,627.371,0.02,0,1,14.95314534,0,0.02,0,-5.855071922
138,1,0,80.018457,6.774605,30.87793074,3,1150.32,0.04,0,1,30.87793074,0,0.04,0,-4.518158809
158,1,0,80.036279,6.772644,28.29625519,3,2339.77,0.04,0,1,28.29625519,0,0.04,0,-4.65396035
134,0,0,80.053088,6.705784,55.23766003,3,876.433,0.04,0,1,55.23766003,0,0.04,0,-5.59471138
160,4,1,80.135768,6.752339,59.09491734,3,241.071,0.08,0,1,59.09491734,0,0.08,0,-3.548978613
171,2,1,80.176003,6.728934,38.58498556,3,841.055,0.08,0,1,38.58498556,0,0.08,0,-4.216562195
152,0,0,80.175967,6.648589,28.13597632,3,747.758,0.08,0,1,28.13597632,0,0.08,0,-5.720311777
127,1,0,80.464778,7.40812,176.0973924,3,504.862,0.14,0,1,176.0973924,16.09739238,0.14,0.05,-4.4347772
126,0,0,80.479525,7.396742,233.0782398,3,796.712,0.14,0,1,233.0782398,73.07823984,0.14,0.05,-5.533389489
154,0,0,80.527413,7.375613,292.0350204,3,779.608,0.14,0,1,292.0350204,132.0350204,0.14,0.05,-5.733341277
146,0,0,80.47522,7.380371,246.6449775,3,464.949,0.14,0,1,246.6449775,86.64497754,0.14,0.05,-5.680172609
143,1,0,80.526883,7.354353,305.1461583,3,818.3925267,0.14,0,1,305.1461583,145.1461583,0.14,0.05,-4.553876892
143,0,0,80.573334,7.402712,614.3992032,3,664.744,0.08,0,1,614.3992032,454.3992032,0.08,0,-5.659482216
137,1,1,80.585874,7.374911,527.9614567,3,661.741,0.08,0,1,527.9614567,367.9614567,0.08,0,-4.510859507
164,2,1,80.604664,7.386536,586.7816453,3,2511.39,0.04,0,1,586.7816453,426.7816453,0.04,0,-4.17438727
135,0,0,80.612652,7.382898,581.67749,3,2465.73,0.04,0,1,581.67749,421.67749,0.04,0,-5.602118821
109,0,0,80.628772,7.837249,170.2725481,1,298.343,0.4,0,0,170.2725481,10.27254813,0.4,0.31,-5.38907173
132,2,2,80.508271,7.814302,210.8009872,1,74.735,0.4,0,0,210.8009872,50.80098718,0.4,0.31,-3.955082495
143,1,0,80.544228,7.71783,280.0086495,2,193.312,0.4,1,0,280.0086495,120.0086495,0.4,0.31,-4.553876892
102,0,0,80.720051,7.973602,204.9617972,1,118.068,0.32,0,0,204.9617972,44.96179724,0.32,0.23,-5.323009979
97,1,0,80.713623,7.850001,219.0119725,1,88.428,0.32,0,0,219.0119725,59.01197248,0.32,0.23,-4.1640779
87,0,0,80.682166,7.879318,168.2102385,1,662.356,0.32,0,0,168.2102385,8.210238528,0.32,0.23,-5.164785974
133,0,0,80.663939,7.874388,165.2735665,1,101.903,0.32,0,0,165.2735665,5.273566477,0.32,0.23,-5.587248658
108,1,0,80.704755,7.82543,197.7824289,1,167.86,0.32,0,0,197.7824289,37.78242888,0.32,0.23,-4.272025739
120,0,0,80.628086,7.748354,277.7421439,2,65.839,0.28,1,0,277.7421439,117.7421439,0.28,0.19,-5.484796933
166,0,0,80.666448,7.089163,1142.075498,3,168.308,0.08,0,1,1142.075498,982.0754978,0.08,0,-5.80814249
133,3,0,80.67372,7.069976,885.2977231,3,289.512044,0.08,0,1,885.2977231,725.2977231,0.08,0,-3.618610258
128,0,0,80.776663,7.193721,676.6587573,3,1499.41,0.47,0,1,676.6587573,516.6587573,0.47,0.38,-5.549076085
114,0,0,80.771306,7.175644,686.6332163,3,3119.024154,0.47,0,1,686.6332163,526.6332163,0.47,0.38,-5.433722004
137,0,0,80.76402,7.1637,868.984512,3,215.6892704,0.47,0,1,868.984512,708.984512,0.47,0.38,-5.616771098
